Source Name,API Documentation,Access Type,Authentication,Category,Cost,Data Type,Integration Priority,NJOOBA Content Feed,Notes,Rate Limits,Region,Website,n8n Workflow
Flutterwave Store,https://developer.flutterwave.com,API Integration,API Key,FinTech,Transaction fees,"API, Real-time",Phase 2 - Jan,Tutorials,INFRASTRUCTURE - No-code storefront builder. Alternative to Gumroad for African creators.,,Pan-Africa,https://flutterwave.com/store,
Google for Startups Cloud,https://cloud.google.com/startup,Free,API Key,Developer Tools,Free credits up to $200k,API,Phase 1 - Dec 15,"News Feed, Tutorials",CLOUD CREDITS - $200k GCP credits over 2 years. AI/ML-focused startups prioritized.,,Global,https://cloud.google.com/startup,
Partech Africa,,Free,No Auth,SaaS/Startups,Free,"News, Reports",Phase 1 - Dec 15,"News Feed, Research","FUNDING - Annual Africa Tech Venture Capital Report. $100M+ fund. Free reports on funding trends, deal flow.",,Pan-Africa,https://partechpartners.com/africa,
TLcom Capital,,Free,No Auth,SaaS/Startups,Free,"News, Reports",Phase 1 - Dec 15,News Feed,"FUNDING - $150M Africa-focused fund. Portfolio insights, investment thesis updates.",,"East Africa, West Africa",https://tlcom.vc,
GitHub Sponsors,https://docs.github.com/en/graphql,Free,API Key,Developer Tools,Free (0% fee for first $1k),"API, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials","FUNDING - Developer sponsorship platform. Track trending African developers, sponsorship trends.",,Global,https://github.com/sponsors,
Tony Elumelu Foundation,,Free,No Auth,SaaS/Startups,Free - $5k grants,"News, Reports",Phase 1 - Dec 15,"Job Listings, News Feed","FUNDING - $5k seed grants for African entrepreneurs. 20,000+ alumni network. Applications open annually.",,Pan-Africa,https://tefconnect.com,
Descript,,Freemium,API Key,Developer Tools,Free tier + paid,API,Phase 2 - Jan,Tutorials,CONTENT CREATION - Video editing by text. AI transcription. Essential for tutorial creators.,,Global,https://descript.com,
Canva for Education,https://canva.dev,Freemium,API Key,Developer Tools,Free for educators,API,Phase 1 - Dec 15,Tutorials,"CONTENT CREATION - Design tool for thumbnails, social posts. Free for students/educators. Essential for dev content creators.",,Global,https://canva.com/education,
AfricArena,,Free,No Auth,Ecosystem,Free summit,News,Phase 1 - Dec 15,"Community Posts, News Feed","EVENTS - Annual startup summit + pitch competition. 10,000+ attendees. Cape Town. Free registration.",,Pan-Africa,https://africarena.com,
Dev.to Analytics,https://developers.forem.com/api,Free,API Key,Developer Tools,Free,"API, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials",CONTENT CREATION - Track what dev content performs. Analytics API. Trending tags for African devs.,,Global,https://dev.to,
Riverside.fm,,Paid,API Key,Developer Tools,$19-$99/mo,API,Phase 2 - Jan,Tutorials,CONTENT CREATION - Podcast/video recording. 4K quality. Used by top tech podcasters. African creators growing fast.,,Global,https://riverside.fm,
Facebook Developer Circles,,Free,No Auth,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, News Feed","COMMUNITY - 50+ circles across Africa. Lagos, Nairobi, Cairo hubs. Meetups, workshops, hackathons.",,Pan-Africa,https://developers.facebook.com/developercircles,
OBS Studio,https://obsproject.com/docs,Free,No Auth,Developer Tools,Free (open source),API,Phase 1 - Dec 15,Tutorials,CONTENT CREATION - Screen recording/streaming. Open source. Standard tool for dev tutorials. Low bandwidth friendly.,,Global,https://obsproject.com,
Africa Tech Summit,,Free,No Auth,Ecosystem,Event tickets vary,"News, Reports",Phase 1 - Dec 15,"Community Posts, News Feed","EVENTS - Annual summits across Africa (Kigali, Nairobi, Lagos). Networking hub. Speaker lineups, recordings available.",,Pan-Africa,https://africatechsummit.com,
React Native Paper,https://callstack.github.io/react-native-paper/docs/guides/getting-started,Free,No Auth,Developer Tools,Free (open source),API,Phase 1 - Dec 15,Tutorials,MOBILE-FIRST - Material Design for React Native. Cross-platform UI components. Perfect for NJOOBA's Jan native app.,,Global,https://reactnativepaper.com,
Choose A License,,Free,No Auth,Research,Free,Reports,Phase 1 - Dec 15,Tutorials,LEGAL - GitHub's open source license guide. MIT vs Apache vs GPL explained simply. Essential for dev projects.,,Global,https://choosealicense.com,
PWA Builder,https://docs.pwabuilder.com,Free,No Auth,Developer Tools,Free (Microsoft),API,Phase 1 - Dec 15,Tutorials,MOBILE-FIRST - Convert web apps to PWA. Microsoft tool. Essential for African mobile markets. Offline-first patterns.,,Global,https://pwabuilder.com,
Railway Free Tier,https://docs.railway.app,Freemium,API Key,Developer Tools,$5 free credits/month,API,Phase 1 - Dec 15,Tutorials,INFRASTRUCTURE - Deploy backends instantly. Free $5/month credits. n8n hosting alternative.,,Global,https://railway.app,
OWASP Top 10,,Free,No Auth,Research,Free,Reports,Phase 1 - Dec 15,"Research, Tutorials",SECURITY - Top 10 web security vulnerabilities. Updated annually. Free training materials. Critical knowledge for all devs.,,Global,https://owasp.org/www-project-top-ten,
Supabase Free Tier,https://supabase.com/docs,Freemium,API Key,Developer Tools,"Free tier (500MB DB, 2GB bandwidth)","API, Real-time",Phase 1 - Dec 15,Tutorials,INFRASTRUCTURE - Postgres DB + Auth + Storage. Open source Firebase alternative. Free tier perfect for MVPs.,,Global,https://supabase.com,
Workbox (Google),https://developers.google.com/web/tools/workbox,Free,No Auth,Developer Tools,Free,API,Phase 1 - Dec 15,Tutorials,MOBILE-FIRST - Service worker library. Offline caching strategies. Critical for low-bandwidth Africa.,,Global,https://developers.google.com/web/tools/workbox,
Vercel Free Tier,https://vercel.com/docs/api,Freemium,API Key,Developer Tools,Free hobby tier,API,Phase 1 - Dec 15,Tutorials,INFRASTRUCTURE - Free hosting for frontend apps. Next.js optimization. Hobby tier = 100GB bandwidth/month.,,Global,https://vercel.com,
Mixpanel Free Tier,https://developer.mixpanel.com,Freemium,API Key,Market Intelligence,Free up to 20M events/mo,"API, Real-time",Phase 1 - Dec 15,Tutorials,PRODUCT MGMT - Product analytics. User behavior tracking. Free tier generous. Essential for growth.,,Global,https://mixpanel.com,
Devpost Africa,https://github.com/devpost/devpost-api,Free,API Key,Ecosystem,Free,"API, Real-time",Phase 1 - Dec 15,"Community Posts, News Feed",HACKATHONS - Global hackathon platform. Filter by Africa region. Track winning projects for trends.,,Global,https://devpost.com,
Toptal Africa Talent,,Partnership,Partnership Required,EdTech,Platform fee,API,Phase 2 - Jan,Job Listings,HIRING - Top 3% freelance talent. Growing African developer pool. Remote work opportunities.,,Pan-Africa,https://toptal.com,
Arc.dev,https://arc.dev/api,Free,API Key,EdTech,Free for devs,API,Phase 2 - Jan,Job Listings,"HIRING - Remote dev jobs. Strong African developer community. Vetted roles, direct placement.",,Global,https://arc.dev,
Hotjar Free Tier,https://help.hotjar.com/hc/en-us/categories/115001255948-APIs,Freemium,API Key,Market Intelligence,Free basic tier,API,Phase 2 - Jan,Tutorials,"PRODUCT MGMT - Heatmaps, session recordings. User feedback. Free tier: 35 daily sessions.",,Global,https://hotjar.com,
Zindi Competitions,https://zindi.africa/api,Free,API Key,Developer Tools,Free + prize competitions,"API, Real-time",Phase 1 - Dec 15,"Community Posts, Job Listings",HACKATHONS - Africa's largest data science competition platform. 50k+ practitioners. API for challenge data.,,Pan-Africa,https://zindi.africa,
forLoop Africa,,Free,No Auth,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, News Feed",COMMUNITY - Pan-African dev community. Online + in-person events. Newsletter. Strong Nigeria/Ghana presence.,,Pan-Africa,https://forloop.africa,
She Code Africa,,Free,No Auth,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, Job Listings","COMMUNITY - 40,000+ female developers across Africa. Chapters in 16 countries. Mentorship, events, job board.",,Pan-Africa,https://shecodeafrica.org,
Techpoint Africa,https://techpoint.africa/feed,Free,No Auth,SaaS/Startups,Free,"News, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials","WEST AFRICA - Leading tech news for Nigeria/Ghana/Kenya. Startups, funding rounds, ecosystem updates. RSS available.",,"Pan-Africa, West Africa",https://techpoint.africa,
Orange Money Developer Blog,https://developer.orange.com,Partnership,Partnership Required,FinTech,Free,API,Phase 1 - Dec 15,"News Feed, Tutorials",WEST AFRICA - Mobile money leader. Use for payment integration tutorials. Track their developer blog.,,West Africa,https://orangemoney.com,
M-KOPA Developer Stories,https://m-kopa.com/careers,Partnership,Partnership Required,SaaS/Startups,Free,API,Phase 2 - Jan,"News Feed, Tutorials",WEST AFRICA - Pay-as-you-go solar. Dev APIs for IoT integration. West African developer use case inspiration.,,"East Africa, West Africa",https://m-kopa.com,
Jokkolabs Dakar,,Partnership,Partnership Required,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, News Feed","SENEGAL - Dakar startup ecosystem hub. Events, coworking, community. Partner with them for hackathon promotion.",,West Africa,https://jokkolabs.net,
Senter Novation,,Partnership,Partnership Required,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, Job Listings","SENEGAL - Tech hub in Dakar. Events calendar, startup programs. Direct partnership opportunity.",,West Africa,https://senternovation.com,
Wave Mobile Money Devs,https://developer.wave.com,Partnership,Partnership Required,FinTech,Free,API,Phase 1 - Dec 15,Tutorials,WEST AFRICA - Senegal mobile money. Direct competitor/partner to OM. Track their developer resources.,,West Africa,https://wave.com/en/developer,
FrenchWeb Senegal,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,"WEST AFRICA - Senegal's leading tech/startup media. French + English. Dakar ecosystem coverage, WARC events.",,West Africa,https://frenchweb.fr/senegal,
Technext,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,"WEST AFRICA - Nigeria tech ecosystem news. Lagos startup scene. Funding announcements, product launches.",,West Africa,https://technext.ng,
Flutterwave Origin Story,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,"News Feed, Research",SUCCESS STORY - Flutterwave founder. Nigerian fintech unicorn $3B valuation. Payment infrastructure for Africa.,,"Pan-Africa, West Africa",https://flutterwave.com/blog,
Deeecode (YouTube),,Free,No Auth,Developer Tools,Free,Real-time,Phase 1 - Dec 15,"Community Posts, Tutorials","AFRICAN CREATOR - Nigerian developer, YouTube tutorials. 100k+ subs. Web dev, React, Node.js for African context.",,West Africa,https://youtube.com/@deeecode,
Code With Tomi,,Free,No Auth,Developer Tools,Free,Real-time,Phase 1 - Dec 15,Tutorials,"AFRICAN CREATOR - Kenyan dev YouTuber. Python, Django, African freelancing tips. 50k+ subs.",,"East Africa, Pan-Africa",https://youtube.com/@CodeWithTomi,
Afric Telegraph,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,"FRANCOPHONE - Senegalese tech media. French language. Dakar ecosystem, ECOWAS tech policy, regional news.",,West Africa,https://africtelegraph.com,
Iungo Ventures,,Partnership,Partnership Required,SaaS/Startups,$100k-$250k checks,"News, Reports",Phase 2 - Jan,News Feed,WEST AFRICA VC - Côte d'Ivoire-based. Early-stage francophone Africa. Portfolio insights.,,West Africa,https://iungoventures.com,
Paystack Success Story,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,"News Feed, Research","SUCCESS STORY - Paystack founder. Nigerian fintech $200M exit to Stripe. Track his talks, interviews, lessons.",,West Africa,https://twitter.com/paystack,
Seeders West Africa,,Partnership,Partnership Required,Ecosystem,Free to $500k,News,Phase 2 - Jan,"Job Listings, News Feed",WEST AFRICA ACCELERATOR - Cotonou-based. Support 100+ West African startups. French + English programs.,,West Africa,https://seedersng.com,
Techstars Africa Network,,Free,No Auth,Ecosystem,Free,News,Phase 1 - Dec 15,"Community Posts, Job Listings","COMMUNITY - Lagos, Accra, Nairobi chapters. Monthly meetups. Slack community. Job board.",,"East Africa, West Africa",https://techstars.com/communities,
Jobberman Tech Jobs,,Free,No Auth,EdTech,Free,Real-time,Phase 1 - Dec 15,Job Listings,WEST AFRICA JOBS - Nigeria's largest job platform. Tech section active. RSS feed for new postings.,,West Africa,https://jobberman.com,
University of Lagos CS,,Partnership,Partnership Required,EdTech,Free,News,Phase 2 - Jan,"Community Posts, Research",NIGERIA EDU - Top CS program. UNILAG Tech incubation hub. Student developer community.,,West Africa,https://unilag.edu.ng,
Bright Network Africa,,Free,No Auth,EdTech,Free,Real-time,Phase 1 - Dec 15,Job Listings,WEST AFRICA JOBS - Pan-African remote jobs. Filter by country. Developer roles from startups across continent.,,Pan-Africa,https://www.brightnetwork.africa,
Techpoint Africa Podcast,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,"PODCAST - Nigerian tech news podcast. Weekly episodes. Ecosystem deep dives, founder interviews.",,West Africa,https://techpoint.africa/podcast,
The Africa Tech Podcast,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,"News Feed, Tutorials","PODCAST - African tech ecosystem interviews. Founders, VCs, operators. Spotify + Apple Podcasts.",,Pan-Africa,https://africatechpodcast.com,
ESP Dakar,,Partnership,Partnership Required,EdTech,Free,"News, Reports",Phase 2 - Jan,"Community Posts, Research","SENEGAL EDU - École Supérieure Polytechnique. Computer science, software engineering. Track student projects, research.",,West Africa,https://esp.sn,
Impact Hub Accra,,Partnership,Partnership Required,Ecosystem,Free,News,Phase 2 - Jan,"Community Posts, News Feed","GHANA - Accra startup scene. Events, funding news, ecosystem updates. Partner for West Africa expansion.",,West Africa,https://impacthubaccra.net,
African Tech Twitter,https://developer.twitter.com/en/docs,Free,API Key,Developer Tools,Free,Real-time,Phase 1 - Dec 15,"Community Posts, News Feed","TWITTER COMMUNITY - 50k+ African devs. Daily discussions, job posts, resource sharing. Curate trending threads.",,Pan-Africa,https://twitter.com/i/communities/1496153543746383873,
Prosper Otemuyiwa (@unicodeveloper),https://developer.twitter.com/en/docs,Free,API Key,Developer Tools,Free,Real-time,Phase 1 - Dec 15,"Community Posts, Tutorials","INFLUENCER - Nigerian dev. 200k+ Twitter followers. Daily tech tips, career advice, African ecosystem insights.",,"Pan-Africa, West Africa",https://twitter.com/unicodeveloper,
GSMA Mobile Economy Africa,,Free,No Auth,Market Intelligence,Premium reports,"Historical, Reports",Phase 1 - Dec 15,Research,"MARKET DATA - Annual African mobile economy report. GSMA data. Mobile penetration, data costs, trends.",,Pan-Africa,https://gsma.com/mobileeconomy,
Josphine Kithome,,Free,API Key,Developer Tools,Free,Real-time,Phase 1 - Dec 15,"Community Posts, Tutorials",INFLUENCER - Kenyan dev advocate. Google Developer Expert. African tech content creator. YouTube + blog.,,"East Africa, Pan-Africa",https://twitter.com/jkithome,
Fincra Payment SDKs,https://docs.fincra.com,API Integration,API Key,FinTech,Free SDK,API,Phase 2 - Jan,Tutorials,INFRASTRUCTURE - African payment aggregation. One API for 50+ methods. Developer docs. West Africa focus.,,Pan-Africa,https://fincra.com,
Alliance for Affordable Internet,,Free,No Auth,Market Intelligence,Free,"Historical, Reports",Phase 2 - Jan,Research,MARKET DATA - Internet access costs across Africa. A4AI data. Affordability benchmarks by country.,,Pan-Africa,https://a4ai.org,
Chipper Cash Story,,Free,No Auth,FinTech,Free,News,Phase 1 - Dec 15,"News Feed, Research",SUCCESS STORY - Chipper Cash founders. Cross-border payments. Uganda/Ghana. $300M+ raised. Track their journey.,,"East Africa, West Africa",https://chippercash.com/blog,
237 Online Tech,,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,FRANCOPHONE - Cameroon tech news. French language. Central/West Africa tech ecosystem coverage.,,West Africa,https://237online.com/tech,
WARC Abidjan,,Partnership,Partnership Required,Ecosystem,Free,News,Phase 2 - Jan,"Community Posts, News Feed","FRANCOPHONE - Abidjan tech hub. Côte d'Ivoire ecosystem. Events, coworking, startup programs.",,West Africa,https://warc.ci,
